codigo;empresas;caminhos
20054;SELLXPERT ECOMMERCE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20055;ALBHA STORE MAGAZINE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20056;ALBHA STORE MAGAZINE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20057;ALBHA STORE MAGAZINE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20059;COSMETICOS E PRODUTOS COMERCIO DE LUXO CEVELO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20059\Saida\2024\Maio
20060;STEEL FER COMERCIO DE FERRO E ACO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20061;MARGARIDA MAKES LTDA.;C:\Troca de arquivos Unico\TI\Gabriel
20062;MELIMAR CONFECCOES DE ROUPAS FEMININAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20063;MERCADOPECAS INDUSTRIA ATACADISTA IMP. E EXP. DE PECAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20065;ECOMMERCE DISTRIBUTION IMPORTACAO E EXPORTACAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20066;BRASPECAS IMP E EXP LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20068;INDUSTRIA DO ECOMMERCE IMP. E EXP. LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20069;BRASTANQUES INDUSTRIA DE TANQUES IMP E EXP LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20070;ENGLAND DISTRIBUTION IMP. E EXP. LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20074;COMERCIO DE COSMETICOS E PERFUMES IMPORTADOS DE LUXO ZAILO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20074\Saida\2024\Maio
20075;R9 DESIGN FUTON E-COMMERCE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\20075\Saida\2024\Maio
20082;DOCE OPIUM PREMIUM NUTS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
20083;FOCCO ECOMMERCE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
