codigo;empresas;caminhos
568;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\568\Saida\2024\Maio
569;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\569\Saida\2024\Maio
570;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\570\Saida\2024\Maio
571;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\571\Saida\2024\Maio
574;CONFESPAN COMERCIO E DISTRIBUICAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\574\Saida\2024\Maio
610;BT PECAS PARA CAMINHOES LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\610\Saida\2024\Maio
611;BIO-BEAUTY CENTRO ESTETICO AVANCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
614;IAS BELLINHA ARTIGOS DE FESTAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\614\Saida\2024\Maio
622;KUNGFU COFFEE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\622\Saida\2024\Maio
637;VITORIA I CONSTRUCAO CIVIL LTDA;C:\Troca de arquivos Unico\TI\Gabriel
643;AROMA DE CAFE E CHOCOLATES LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\643\Saida\2024\Maio
646;SELF - HOTEL LONDRINA FLAT LTDA;C:\Troca de arquivos Unico\TI\Gabriel
658;CANTINHO BELA CASA LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\658\Saida\2024\Maio
661;RENOVE MUDANCAS E GUARDA MOVEIS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
662;R. D. MANUTENCAO DE BOMBAS INJETORAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\662\Saida\2024\Maio
671;LL CHOCOLATES FINOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
677;TORRES COMERCIO DE CALCADOS – EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\677\Saida\2024\Maio
684;T&M SALGADOS E CIA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
695;CKD COMERCIO IMPORTACAO E EXPORTACAO EIRELI;C:\Troca de arquivos Unico\TI\Gabriel
697;SEIKO COMERCIO E DISTRIBUICAO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
701;MALL CAFES CHOCOLATES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
712;FIORI PASTIFICIO ALIMENTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
732;SDM VINHOS SBC LTDA;C:\Troca de arquivos Unico\TI\Gabriel
733;MEGA COMERCIAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\733\Saida\2024\Maio
736;AESTHETIC PLANET COMERCIAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\736\Saida\2024\Maio
738;HOTEL DOWNTOWN SAO PAULO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
739;PAULA TORRES COMERCIO DE CALCADOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\739\Saida\2024\Maio
741;R.Vanijr Miranda Comercio de Salgados Ltda;C:\Troca de arquivos Unico\TI\Gabriel
746;VCL SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
754;MCL SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
757;ESSENTIAL SERVICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
759;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\759\Saida\2024\Maio
762;RCL SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\762\Saida\2024\Maio
763;TORRES COMERCIO DE CALCADOS - EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\763\Saida\2024\Maio
773;FERR SANTOS SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
775;KCMA SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\775\Saida\2024\Maio
781;ADRIANA REGINA RODRIGUES;C:\Troca de arquivos Unico\TI\Gabriel
792;EVER SEGURANCA E TECNOLOGIA SOCIEDADE UNIPESSOAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\792\Saida\2024\Maio
802;ACL CHOCOLATE LTDA;C:\Troca de arquivos Unico\TI\Gabriel
803;LMD BOMBOM LTDA;C:\Troca de arquivos Unico\TI\Gabriel
812;DIA FMG SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\812\Saida\2024\Maio
815;LCL SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
819;EC BEBIDAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
820;ADEGA LUCARO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
821;MERCADO CALU LTDA;C:\Troca de arquivos Unico\TI\Gabriel
824;LAP SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\824\Saida\2024\Maio
830;AGORA DEU LUCRO EDUCACIONAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel
